Route,Day type,Кинотеатр «Аврора»,Эстонская улица,Первоконная улица,Улица Лизы Чайкиной,Завод «Электромашина»,Первый плановый посёлок
8,Weekdays,06:11,06:14,06:17,06:19,06:22,06:25
8,Weekdays,06:21,06:24,06:27,06:29,06:32,06:35
8,Weekdays,06:33,06:36,06:39,06:41,06:44,06:47
8,Weekdays,06:48,06:51,06:54,06:56,06:59,07:02
8,Weekdays,06:59,07:02,07:05,07:07,07:10,07:13
8,Weekdays,07:09,07:12,07:15,07:17,07:20,07:23
8,Weekdays,07:21,07:24,07:27,07:29,07:32,07:35
8,Weekdays,07:36,07:39,07:42,07:44,07:47,07:50
8,Weekdays,07:47,07:50,07:53,07:55,07:58,08:01
8,Weekdays,07:57,08:00,08:03,08:05,08:08,08:11
8,Weekdays,08:09,08:12,08:15,08:17,08:20,08:23
8,Weekdays,08:24,08:27,08:30,08:32,08:35,08:38
8,Weekdays,08:35,08:38,08:41,08:43,08:46,08:49
8,Weekdays,08:45,08:48,08:51,08:53,08:56,08:59
8,Weekdays,08:57,09:00,09:03,09:05,09:08,09:11
8,Weekdays,09:12,09:15,09:18,09:20,09:23,09:26
8,Weekdays,09:23,09:26,09:29,09:31,09:34,09:37
8,Weekdays,09:33,09:36,09:39,09:41,09:44,09:47
8,Weekdays,09:45,09:48,09:51,09:53,09:56,09:59
8,Weekdays,10:00,10:03,10:06,10:08,10:11,10:14
8,Weekdays,10:11,10:14,10:17,10:19,10:22,10:25
8,Weekdays,10:21,10:24,10:27,10:29,10:32,10:35
8,Weekdays,10:33,10:36,10:39,10:41,10:44,10:47
8,Weekdays,10:48,10:51,10:54,10:56,10:59,11:02
8,Weekdays,10:59,11:02,11:05,11:07,11:10,11:13
8,Weekdays,11:09,11:12,11:15,11:17,11:20,11:23
8,Weekdays,11:21,11:24,11:27,11:29,11:32,11:35
8,Weekdays,11:36,11:39,11:42,11:44,11:47,11:50
8,Weekdays,11:47,11:50,11:53,11:55,11:58,12:01
8,Weekdays,11:57,12:00,12:03,12:05,12:08,12:11
8,Weekdays,12:09,12:12,12:15,12:17,12:20,12:23
8,Weekdays,12:24,12:27,12:30,12:32,12:35,12:38
8,Weekdays,12:35,12:38,12:41,12:43,12:46,12:49
8,Weekdays,12:45,12:48,12:51,12:53,12:56,12:59
8,Weekdays,12:57,13:00,13:03,13:05,13:08,13:11
8,Weekdays,13:12,13:15,13:18,13:20,13:23,13:26
8,Weekdays,13:23,13:26,13:29,13:31,13:34,13:37
8,Weekdays,13:33,13:36,13:39,13:41,13:44,13:47
8,Weekdays,13:45,13:48,13:51,13:53,13:56,13:59
8,Weekdays,14:00,14:03,14:06,14:08,14:11,14:14
8,Weekdays,14:11,14:14,14:17,14:19,14:22,14:25
8,Weekdays,14:21,14:24,14:27,14:29,14:32,14:35
8,Weekdays,14:33,14:36,14:39,14:41,14:44,14:47
8,Weekdays,14:48,14:51,14:54,14:56,14:59,15:02
8,Weekdays,14:59,15:02,15:05,15:07,15:10,15:13
8,Weekdays,15:09,15:12,15:15,15:17,15:20,15:23
8,Weekdays,15:21,15:24,15:27,15:29,15:32,15:35
8,Weekdays,15:36,15:39,15:42,15:44,15:47,15:50
8,Weekdays,15:47,15:50,15:53,15:55,15:58,16:01
8,Weekdays,15:57,16:00,16:03,16:05,16:08,16:11
8,Weekdays,16:09,16:12,16:15,16:17,16:20,16:23
8,Weekdays,16:24,16:27,16:30,16:32,16:35,16:38
8,Weekdays,16:35,16:38,16:41,16:43,16:46,16:49
8,Weekdays,16:45,16:48,16:51,16:53,16:56,16:59
8,Weekdays,16:57,17:00,17:03,17:05,17:08,17:11
8,Weekdays,17:12,17:15,17:18,17:20,17:23,17:26
8,Weekdays,17:23,17:26,17:29,17:31,17:34,17:37
8,Weekdays,17:33,17:36,17:39,17:41,17:44,17:47
8,Weekdays,17:45,17:48,17:51,17:53,17:56,17:59
8,Weekdays,18:00,18:03,18:06,18:08,18:11,18:14
8,Weekdays,18:11,18:14,18:17,18:19,18:22,18:25
8,Weekdays,18:21,18:24,18:27,18:29,18:32,18:35
8,Weekdays,18:33,18:36,18:39,18:41,18:44,18:47
8,Weekdays,18:48,18:51,18:54,18:56,18:59,19:02
8,Weekdays,18:59,19:02,19:05,19:07,19:10,19:13
8,Weekdays,19:09,19:12,19:15,19:17,19:20,19:23
8,Weekdays,19:21,19:24,19:27,19:29,19:32,19:35
8,Weekdays,19:36,19:39,19:42,19:44,19:47,19:50
8,Weekdays,19:47,19:50,19:53,19:55,19:58,20:01
8,Weekdays,19:57,20:00,20:03,20:05,20:08,20:11
8,Weekdays,20:09,20:12,20:15,20:17,20:20,20:23
8,Weekdays,20:24,20:27,20:30,20:32,20:35,20:38
8,Weekdays,20:35,20:38,20:41,20:43,20:46,20:49
8,Weekdays,20:45,20:48,20:51,20:53,20:56,20:59
8,Weekdays,20:57,21:00,21:03,21:05,21:08,21:11
8,Weekdays,21:12,21:15,21:18,21:20,21:23,21:26
8,Weekdays,21:23,21:26,21:29,21:31,21:34,21:37
8,Weekdays,21:33,21:36,21:39,21:41,21:44,21:47
8,Weekdays,21:45,21:48,21:51,21:53,21:56,21:59
8,Weekdays,22:00,22:03,22:06,22:08,22:11,22:14
8,Weekdays,22:11,22:14,22:17,22:19,22:22,22:25
8,Weekdays,22:21,22:24,22:27,22:29,22:32,22:35
8,Weekdays,22:33,22:36,22:39,22:41,22:44,22:47
8,Weekdays,22:48,22:51,22:54,22:56,22:59,23:02
8,Weekdays,22:59,23:02,23:05,23:07,23:10,23:13
